measurement_id,component_id,lot_id_cmm,feature_name,nominal_value,upper_tolerance,lower_tolerance,measured_value,measurement_timestamp,cmm_machine_id,inspector_id,result,production_order_id,part_id,lot_id_erp,production_timestamp,quantity,machine_id,operator_id,shift,plant_code,status,pass_flag,z_score,anomaly_z,anomaly_iforest
M0000027,PART-002,LOT-00027,angle,45,46.0,44.0,44.616,1/8/2024 1:11,CMM1,QC009,pass,PO000027,PART-002,LOT-00027,2024-01-06 02:11:00,495,M012,OP040,3,PLANT1,completed,True,0.49499045889818005,False,False
M0000028,PART-037,LOT-00028,width,10,10.1,9.9,10.013,1/4/2024 21:01,CMM1,QC020,pass,PO000028,PART-037,LOT-00028,2024-01-04 14:01:00,63,M016,OP009,2,PLANT3,completed,True,-0.5711418531533946,False,False
M0000029,PART-009,LOT-00029,angle,45,46.0,44.0,44.8,1/23/2024 12:08,CMM1,QC002,pass,PO000029,PART-009,LOT-00029,2024-01-22 15:08:00,301,M006,OP034,2,PLANT3,in_progress,True,0.5006595727154065,False,False
M0000030,PART-028,LOT-00030,angle,45,46.0,44.0,44.903,1/11/2024 23:20,CMM3,QC001,pass,PO000030,PART-028,LOT-00030,2024-01-10 15:20:00,495,M018,OP097,2,PLANT3,completed,True,0.5038330440370061,False,False
M0000031,PART-046,LOT-00031,length,20,20.2,19.8,19.96,1/16/2024 13:28,CMM2,QC001,pass,PO000031,PART-046,LOT-00031,2024-01-15 04:28:00,224,M012,OP057,3,PLANT3,completed,True,-0.2646707926101754,False,False
M0000032,PART-016,LOT-00032,flatness,0,0.1,0.0,-0.017,1/11/2024 16:25,CMM2,QC001,fail,PO000032,PART-016,LOT-00032,2024-01-11 05:25:00,52,M011,OP003,3,PLANT3,completed,False,-0.8801701769946018,False,False
M0000033,PART-038,LOT-00033,flatness,0,0.1,0.0,0.062,1/11/2024 19:32,CMM2,QC009,pass,PO000033,PART-038,LOT-00033,2024-01-11 00:32:00,23,M003,OP091,3,PLANT3,completed,True,-0.8777361553013361,False,False
M0000034,PART-005,LOT-00034,parallelism,0,0.1,0.0,0.0,1/3/2024 11:18,CMM3,QC020,pass,PO000034,PART-005,LOT-00034,2024-01-02 10:18:00,460,M011,OP010,1,PLANT3,completed,True,-0.879646400174532,False,False
M0000035,PART-043,LOT-00035,angle,45,46.0,44.0,43.864,1/23/2024 7:12,CMM3,QC017,fail,PO000035,PART-043,LOT-00035,2024-01-23 02:12:00,129,M018,OP017,3,PLANT3,delayed,False,0.4718210372103846,False,True
M0000036,PART-037,LOT-00036,angle,45,46.0,44.0,44.647,1/29/2024 1:22,CMM2,QC007,pass,PO000036,PART-037,LOT-00036,2024-01-27 05:22:00,262,M008,OP061,3,PLANT2,completed,True,0.49594558133477795,False,False
M0000037,PART-007,LOT-00037,bore_diameter,50,50.4,49.6,50.11,1/31/2024 23:47,CMM2,QC012,pass,PO000037,PART-007,LOT-00037,2024-01-30 23:47:00,240,M012,OP055,3,PLANT2,completed,True,0.664262802984281,False,False
M0000038,PART-047,LOT-00038,flatness,0,0.1,0.0,-0.041,1/4/2024 1:10,CMM3,QC018,fail,PO000038,PART-047,LOT-00038,2024-01-03 11:10:00,364,M004,OP008,1,PLANT2,completed,False,-0.8809096266229357,False,False
M0000039,PART-007,LOT-00039,parallelism,0,0.1,0.0,0.007,1/13/2024 15:35,CMM2,QC013,pass,PO000039,PART-007,LOT-00039,2024-01-12 07:35:00,118,M007,OP069,1,PLANT2,completed,True,-0.8794307273662679,False,False
M0000040,PART-012,LOT-00040,angle,45,46.0,44.0,44.347,1/15/2024 7:14,CMM3,QC008,pass,PO000040,PART-012,LOT-00040,2024-01-13 16:14:00,256,M008,OP010,2,PLANT2,in_progress,True,0.4867024609806043,False,False
M0000041,PART-036,LOT-00041,outer_diameter,100,100.5,99.5,99.779,1/7/2024 4:56,CMM1,QC014,pass,PO000041,PART-036,LOT-00041,2024-01-05 10:56:00,45,M018,OP002,1,PLANT1,delayed,True,2.1945846192224585,False,False
M0000042,PART-016,LOT-00042,length,20,20.2,19.8,20.013,1/8/2024 21:39,CMM3,QC001,pass,PO000042,PART-016,LOT-00042,2024-01-08 13:39:00,228,M016,OP062,1,PLANT1,in_progress,True,-0.26303784134760466,False,False
M0000043,PART-004,LOT-00043,outer_diameter,100,100.5,99.5,100.123,1/10/2024 9:49,CMM1,QC018,pass,PO000043,PART-004,LOT-00043,2024-01-08 11:49:00,214,M001,OP050,1,PLANT2,delayed,True,2.205183397228578,False,False
M0000044,PART-030,LOT-00044,flatness,0,0.1,0.0,0.143,1/14/2024 16:34,CMM3,QC015,fail,PO000044,PART-030,LOT-00044,2024-01-13 23:34:00,236,M018,OP085,3,PLANT3,completed,False,-0.8752405128057091,False,True
M0000045,PART-013,LOT-00045,outer_diameter,100,100.5,99.5,100.029,1/16/2024 3:05,CMM1,QC007,pass,PO000045,PART-013,LOT-00045,2024-01-14 12:05:00,131,M002,OP075,1,PLANT3,completed,True,2.2022872195176033,False,False
M0000046,PART-048,LOT-00046,bore_diameter,50,50.4,49.6,49.985,1/15/2024 13:32,CMM3,QC009,pass,PO000046,PART-048,LOT-00046,2024-01-15 06:32:00,49,M002,OP075,1,PLANT2,completed,True,0.6604115028367086,False,False
M0000047,PART-034,LOT-00047,angle,45,46.0,44.0,44.9,1/9/2024 14:57,CMM1,QC019,pass,PO000047,PART-034,LOT-00047,2024-01-08 03:57:00,49,M017,OP011,3,PLANT1,completed,True,0.5037406128334645,False,False
M0000048,PART-005,LOT-00048,thickness,5,5.05,4.95,4.975,1/13/2024 5:54,CMM3,QC004,pass,PO000048,PART-005,LOT-00048,2024-01-11 16:54:00,226,M004,OP073,2,PLANT1,completed,True,-0.7263646543011515,False,False
M0000049,PART-003,LOT-00049,thickness,5,5.05,4.95,4.988,1/30/2024 16:31,CMM3,QC002,pass,PO000049,PART-003,LOT-00049,2024-01-29 04:31:00,61,M014,OP085,3,PLANT3,completed,True,-0.725964119085804,False,False
M0000050,PART-021,LOT-00050,angle,45,46.0,44.0,44.846,1/14/2024 0:49,CMM1,QC018,pass,PO000050,PART-021,LOT-00050,2024-01-12 20:49:00,124,M011,OP031,2,PLANT2,completed,True,0.5020768511697131,False,False
M0000051,PART-043,LOT-00051,width,10,10.1,9.9,10.035,1/30/2024 14:03,CMM3,QC014,pass,PO000051,PART-043,LOT-00051,2024-01-30 09:03:00,173,M015,OP041,1,PLANT1,completed,True,-0.5704640243274218,False,False
M0000052,PART-040,LOT-00052,parallelism,0,0.1,0.0,0.011,1/26/2024 17:56,CMM3,QC011,pass,PO000052,PART-040,LOT-00052,2024-01-26 14:56:00,71,M003,OP069,2,PLANT1,completed,True,-0.8793074857615456,False,False
M0000053,PART-009,LOT-00053,width,10,10.1,9.9,9.941,1/18/2024 19:12,CMM2,QC016,pass,PO000053,PART-009,LOT-00053,2024-01-16 21:12:00,471,M003,OP032,2,PLANT2,completed,True,-0.5733602020383962,False,False
M0000054,PART-029,LOT-00054,bore_diameter,50,50.4,49.6,50.043,1/26/2024 9:20,CMM3,QC017,pass,PO000054,PART-029,LOT-00054,2024-01-25 17:20:00,380,M010,OP079,2,PLANT3,completed,True,0.6621985061051822,False,False
M0000055,PART-043,LOT-00055,flatness,0,0.1,0.0,-0.013,1/27/2024 14:46,CMM3,QC014,fail,PO000055,PART-043,LOT-00055,2024-01-26 05:46:00,173,M004,OP018,3,PLANT2,completed,False,-0.8800469353898795,False,False
M0000056,PART-007,LOT-00056,angle,45,46.0,44.0,44.774,1/27/2024 22:16,CMM1,QC019,pass,PO000056,PART-007,LOT-00056,2024-01-26 04:16:00,99,M009,OP037,3,PLANT3,completed,True,0.49985850228471157,False,False
M0000057,PART-022,LOT-00057,length,20,20.2,19.8,20.041,1/12/2024 0:22,CMM3,QC018,pass,PO000057,PART-022,LOT-00057,2024-01-10 06:22:00,371,M009,OP065,1,PLANT2,completed,True,-0.2621751501145485,False,False
M0000058,PART-004,LOT-00058,length,20,20.2,19.8,20.069,1/5/2024 14:48,CMM3,QC006,pass,PO000058,PART-004,LOT-00058,2024-01-05 04:48:00,344,M014,OP036,3,PLANT1,completed,True,-0.26131245888149235,False,False
M0000059,PART-050,LOT-00059,bore_diameter,50,50.4,49.6,50.124,1/7/2024 5:53,CMM3,QC007,pass,PO000059,PART-050,LOT-00059,2024-01-06 22:53:00,346,M009,OP021,3,PLANT3,completed,True,0.6646941486008092,False,False
M0000060,PART-046,LOT-00060,length,20,20.2,19.8,19.944,1/21/2024 0:08,CMM1,QC014,pass,PO000060,PART-046,LOT-00060,2024-01-20 11:08:00,307,M001,OP015,1,PLANT1,delayed,True,-0.2651637590290647,False,False
M0000061,PART-045,LOT-00061,angle,45,46.0,44.0,44.897,1/9/2024 16:48,CMM2,QC014,pass,PO000061,PART-045,LOT-00061,2024-01-07 18:48:00,299,M002,OP048,2,PLANT3,completed,True,0.5036481816299228,False,False
M0000062,PART-028,LOT-00062,parallelism,0,0.1,0.0,0.011,1/8/2024 11:12,CMM2,QC017,pass,PO000062,PART-028,LOT-00062,2024-01-06 19:12:00,41,M010,OP047,2,PLANT1,in_progress,True,-0.8793074857615456,False,False
M0000063,PART-014,LOT-00063,bore_diameter,50,50.4,49.6,50.13,1/13/2024 9:33,CMM2,QC011,pass,PO000063,PART-014,LOT-00063,2024-01-12 08:33:00,361,M004,OP046,1,PLANT3,in_progress,True,0.6648790110078927,False,False
M0000064,PART-027,LOT-00064,width,10,10.1,9.9,9.984,1/29/2024 22:55,CMM3,QC009,pass,PO000064,PART-027,LOT-00064,2024-01-29 05:55:00,403,M005,OP031,3,PLANT1,delayed,True,-0.5720353547876313,False,False
M0000065,PART-012,LOT-00065,angle,45,46.0,44.0,44.938,1/21/2024 0:20,CMM2,QC005,pass,PO000065,PART-012,LOT-00065,2024-01-19 18:20:00,32,M006,OP095,2,PLANT2,completed,True,0.5049114080783266,False,False
M0000066,PART-027,LOT-00066,outer_diameter,100,100.5,99.5,99.816,1/13/2024 23:03,CMM1,QC003,pass,PO000066,PART-027,LOT-00066,2024-01-12 07:03:00,156,M006,OP090,1,PLANT1,completed,True,2.19572460406614,False,False
M0000067,PART-003,LOT-00067,parallelism,0,0.1,0.0,-0.04,1/23/2024 8:07,CMM3,QC011,fail,PO000067,PART-003,LOT-00067,2024-01-22 10:07:00,133,M007,OP059,1,PLANT2,completed,False,-0.8808788162217551,False,False
M0000068,PART-015,LOT-00068,length,20,20.2,19.8,20.054,1/12/2024 23:29,CMM3,QC016,pass,PO000068,PART-015,LOT-00068,2024-01-11 03:29:00,32,M007,OP052,3,PLANT2,completed,True,-0.26177461489920106,False,False
M0000069,PART-005,LOT-00069,thickness,5,5.05,4.95,5.023,1/14/2024 21:52,CMM2,QC003,pass,PO000069,PART-005,LOT-00069,2024-01-13 16:52:00,199,M017,OP052,2,PLANT3,delayed,True,-0.7248857550444837,False,False
M0000070,PART-035,LOT-00070,outer_diameter,100,100.5,99.5,99.988,1/16/2024 19:42,CMM3,QC013,pass,PO000070,PART-035,LOT-00070,2024-01-16 01:42:00,500,M001,OP015,3,PLANT2,completed,True,2.2010239930691995,False,False
M0000071,PART-017,LOT-00071,length,20,20.2,19.8,20.067,1/3/2024 13:47,CMM1,QC004,pass,PO000071,PART-017,LOT-00071,2024-01-02 17:47:00,75,M020,OP056,2,PLANT2,completed,True,-0.26137407968385346,False,False
M0000072,PART-021,LOT-00072,parallelism,0,0.1,0.0,0.012,1/21/2024 17:39,CMM1,QC009,pass,PO000072,PART-021,LOT-00072,2024-01-20 20:39:00,330,M017,OP015,2,PLANT2,in_progress,True,-0.879276675360365,False,False
M0000073,PART-013,LOT-00073,flatness,0,0.1,0.0,-0.022,1/13/2024 10:13,CMM1,QC012,fail,PO000073,PART-013,LOT-00073,2024-01-12 14:13:00,42,M014,OP001,2,PLANT3,delayed,False,-0.8803242290005047,False,False
M0000074,PART-035,LOT-00074,flatness,0,0.1,0.0,0.012,1/10/2024 6:12,CMM3,QC013,pass,PO000074,PART-035,LOT-00074,2024-01-09 23:12:00,206,M014,OP009,3,PLANT3,delayed,True,-0.879276675360365,False,False
M0000075,PART-040,LOT-00075,parallelism,0,0.1,0.0,0.051,1/16/2024 9:52,CMM1,QC001,pass,PO000075,PART-040,LOT-00075,2024-01-15 06:52:00,359,M004,OP093,1,PLANT2,completed,True,-0.8780750697143225,False,False
M0000076,PART-043,LOT-00076,bore_diameter,50,50.4,49.6,49.995,1/20/2024 3:04,CMM2,QC017,pass,PO000076,PART-043,LOT-00076,2024-01-19 14:04:00,187,M013,OP090,2,PLANT2,completed,True,0.6607196068485144,False,False
M0000077,PART-013,LOT-00077,length,20,20.2,19.8,20.104,1/20/2024 10:14,CMM2,QC007,pass,PO000077,PART-013,LOT-00077,2024-01-20 03:14:00,360,M013,OP087,3,PLANT3,delayed,True,-0.26023409484017207,False,False
M0000078,PART-040,LOT-00078,bore_diameter,50,50.4,49.6,49.651,1/28/2024 20:36,CMM2,QC019,pass,PO000078,PART-040,LOT-00078,2024-01-26 21:36:00,174,M013,OP071,2,PLANT1,completed,True,0.6501208288423953,False,False
M0000079,PART-014,LOT-00079,parallelism,0,0.1,0.0,0.027,1/20/2024 22:33,CMM1,QC009,pass,PO000079,PART-014,LOT-00079,2024-01-20 13:33:00,422,M019,OP078,1,PLANT3,completed,True,-0.8788145193426563,False,False
M0000080,PART-029,LOT-00080,length,20,20.2,19.8,20.006,1/21/2024 19:57,CMM3,QC007,pass,PO000080,PART-029,LOT-00080,2024-01-21 02:57:00,365,M007,OP066,3,PLANT2,completed,True,-0.2632535141558688,False,False
M0000081,PART-048,LOT-00081,thickness,5,5.05,4.95,4.995,1/10/2024 7:20,CMM1,QC016,pass,PO000081,PART-048,LOT-00081,2024-01-08 17:20:00,357,M003,OP037,2,PLANT3,completed,True,-0.7257484462775399,False,False
M0000082,PART-040,LOT-00082,flatness,0,0.1,0.0,0.003,1/16/2024 9:06,CMM3,QC017,pass,PO000082,PART-040,LOT-00082,2024-01-16 06:06:00,67,M008,OP087,1,PLANT2,completed,True,-0.8795539689709903,False,False
M0000083,PART-013,LOT-00083,thickness,5,5.05,4.95,4.967,1/9/2024 12:56,CMM1,QC003,pass,PO000083,PART-013,LOT-00083,2024-01-07 16:56:00,32,M002,OP032,2,PLANT2,completed,True,-0.7266111375105962,False,False
M0000084,PART-050,LOT-00084,bore_diameter,50,50.4,49.6,49.971,1/4/2024 20:32,CMM1,QC010,pass,PO000084,PART-050,LOT-00084,2024-01-04 07:32:00,253,M014,OP081,1,PLANT3,completed,True,0.6599801572201804,False,False
M0000085,PART-045,LOT-00085,bore_diameter,50,50.4,49.6,50.048,1/19/2024 8:24,CMM1,QC015,pass,PO000085,PART-045,LOT-00085,2024-01-18 11:24:00,273,M013,OP032,1,PLANT1,completed,True,0.6623525581110852,False,False
M0000086,PART-001,LOT-00086,width,10,10.1,9.9,10.049,1/7/2024 5:25,CMM2,QC013,pass,PO000086,PART-001,LOT-00086,2024-01-05 20:25:00,418,M014,OP029,2,PLANT1,in_progress,True,-0.5700326787108938,False,False
M0000087,PART-045,LOT-00087,parallelism,0,0.1,0.0,-0.017,1/25/2024 11:44,CMM2,QC009,fail,PO000087,PART-045,LOT-00087,2024-01-24 13:44:00,257,M002,OP072,1,PLANT1,delayed,False,-0.8801701769946018,False,False
M0000088,PART-008,LOT-00088,thickness,5,5.05,4.95,4.987,1/21/2024 19:34,CMM2,QC008,pass,PO000088,PART-008,LOT-00088,2024-01-21 18:34:00,88,M015,OP086,2,PLANT3,delayed,True,-0.7259949294869845,False,False
M0000089,PART-039,LOT-00089,length,20,20.2,19.8,19.967,1/15/2024 12:34,CMM3,QC014,pass,PO000089,PART-039,LOT-00089,2024-01-15 10:34:00,406,M015,OP079,1,PLANT3,in_progress,True,-0.2644551198019114,False,False
M0000090,PART-028,LOT-00090,parallelism,0,0.1,0.0,0.031,1/27/2024 21:25,CMM2,QC005,pass,PO000090,PART-028,LOT-00090,2024-01-25 22:25:00,248,M006,OP096,3,PLANT2,completed,True,-0.8786912777379341,False,False
M0000091,PART-049,LOT-00091,parallelism,0,0.1,0.0,0.011,1/13/2024 22:03,CMM2,QC007,pass,PO000091,PART-049,LOT-00091,2024-01-12 06:03:00,450,M009,OP099,1,PLANT3,completed,True,-0.8793074857615456,False,False
M0000092,PART-016,LOT-00092,flatness,0,0.1,0.0,-0.018,1/14/2024 6:56,CMM3,QC019,fail,PO000092,PART-016,LOT-00092,2024-01-13 11:56:00,245,M003,OP092,1,PLANT2,completed,False,-0.8802009873957825,False,False
M0000093,PART-022,LOT-00093,outer_diameter,100,100.5,99.5,100.086,1/17/2024 9:12,CMM1,QC017,pass,PO000093,PART-022,LOT-00093,2024-01-15 13:12:00,477,M018,OP011,1,PLANT1,completed,True,2.2040434123848964,False,False
M0000094,PART-025,LOT-00094,angle,45,46.0,44.0,45.032,1/9/2024 21:54,CMM3,QC005,pass,PO000094,PART-025,LOT-00094,2024-01-07 22:54:00,381,M007,OP009,3,PLANT2,completed,True,0.5078075857893009,False,False
M0000095,PART-035,LOT-00095,angle,45,46.0,44.0,45.323,1/22/2024 14:54,CMM1,QC012,pass,PO000095,PART-035,LOT-00095,2024-01-22 04:54:00,232,M002,OP027,3,PLANT2,completed,True,0.5167734125328494,False,False
M0000096,PART-050,LOT-00096,angle,45,46.0,44.0,44.766,1/29/2024 6:58,CMM3,QC007,pass,PO000096,PART-050,LOT-00096,2024-01-27 13:58:00,376,M001,OP098,1,PLANT3,completed,True,0.49961201907526687,False,False
M0000097,PART-001,LOT-00097,width,10,10.1,9.9,9.989,1/18/2024 19:12,CMM2,QC015,pass,PO000097,PART-001,LOT-00097,2024-01-17 00:12:00,172,M013,OP054,3,PLANT3,completed,True,-0.5718813027817284,False,False
M0000098,PART-035,LOT-00098,angle,45,46.0,44.0,44.869,1/29/2024 21:54,CMM1,QC003,pass,PO000098,PART-035,LOT-00098,2024-01-28 10:54:00,479,M008,OP063,1,PLANT1,completed,True,0.5027854903968665,False,False
M0000099,PART-032,LOT-00099,length,20,20.2,19.8,19.902,1/3/2024 9:42,CMM2,QC007,pass,PO000099,PART-032,LOT-00099,2024-01-02 07:42:00,219,M011,OP086,1,PLANT3,completed,True,-0.266457795878649,False,False
M0000100,PART-047,LOT-00100,angle,45,46.0,44.0,45.099,1/10/2024 5:16,CMM3,QC009,pass,PO000100,PART-047,LOT-00100,2024-01-08 12:16:00,450,M015,OP017,1,PLANT3,completed,True,0.5098718826683996,False,False
M0000101,PART-026,LOT-00101,thickness,5,5.05,4.95,5.004,1/27/2024 22:30,CMM2,QC018,pass,PO000101,PART-026,LOT-00101,2024-01-27 22:30:00,308,M001,OP011,3,PLANT3,completed,True,-0.7254711526669148,False,False
M0000102,PART-030,LOT-00102,bore_diameter,50,50.4,49.6,50.001,1/10/2024 3:29,CMM1,QC019,pass,PO000102,PART-030,LOT-00102,2024-01-09 06:29:00,45,M009,OP049,1,PLANT2,completed,True,0.6609044692555979,False,False
M0000103,PART-021,LOT-00103,outer_diameter,100,100.5,99.5,99.961,1/16/2024 12:38,CMM2,QC016,pass,PO000103,PART-021,LOT-00103,2024-01-16 08:38:00,409,M013,OP036,1,PLANT2,completed,True,2.200192112237324,False,False
M0000104,PART-006,LOT-00104,angle,45,46.0,44.0,44.528,1/22/2024 18:42,CMM3,QC009,pass,PO000104,PART-006,LOT-00104,2024-01-22 09:42:00,29,M018,OP007,1,PLANT2,completed,True,0.49227914359428904,False,False
M0000105,PART-005,LOT-00105,thickness,5,5.05,4.95,4.993,1/31/2024 10:53,CMM3,QC006,pass,PO000105,PART-005,LOT-00105,2024-01-30 15:53:00,40,M001,OP032,2,PLANT1,in_progress,True,-0.725810067079901,False,False
M0000106,PART-040,LOT-00106,angle,45,46.0,44.0,44.886,1/8/2024 4:26,CMM2,QC009,pass,PO000106,PART-040,LOT-00106,2024-01-07 22:26:00,142,M005,OP061,3,PLANT3,completed,True,0.5033092672169365,False,False
M0000107,PART-014,LOT-00107,length,20,20.2,19.8,19.947,1/23/2024 22:56,CMM1,QC017,pass,PO000107,PART-014,LOT-00107,2024-01-22 03:56:00,378,M009,OP099,3,PLANT2,completed,True,-0.26507132782552295,False,False
M0000108,PART-039,LOT-00108,angle,45,46.0,44.0,44.946,1/7/2024 11:06,CMM2,QC015,pass,PO000108,PART-039,LOT-00108,2024-01-06 05:06:00,418,M006,OP040,3,PLANT1,completed,True,0.5051578912877711,False,False
M0000109,PART-020,LOT-00109,parallelism,0,0.1,0.0,0.013,1/28/2024 4:55,CMM2,QC019,pass,PO000109,PART-020,LOT-00109,2024-01-27 04:55:00,366,M013,OP051,3,PLANT3,completed,True,-0.8792458649591844,False,False
M0000110,PART-038,LOT-00110,bore_diameter,50,50.4,49.6,50.251,1/30/2024 12:06,CMM2,QC010,pass,PO000110,PART-038,LOT-00110,2024-01-29 13:06:00,144,M004,OP090,1,PLANT2,in_progress,True,0.6686070695507426,False,False
